CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice
10001,2025-01-05,INV001,2,25.50
10001,2025-02-12,INV015,3,15.00
10001,2025-04-20,INV044,1,120.00
10002,2025-01-15,INV002,5,10.00
10002,2025-03-10,INV025,2,45.00
10003,2025-02-20,INV003,1,250.00
10003,2025-05-15,INV055,3,75.00
10004,2025-01-25,INV004,10,8.00
10004,2025-02-28,INV020,5,12.00
10004,2025-03-18,INV035,8,10.00
10005,2025-03-05,INV005,1,500.00
10006,2025-01-08,INV006,2,30.00
10006,2025-02-15,INV018,4,25.00
10006,2025-04-05,INV040,3,50.00
10007,2025-01-30,INV007,1,75.00
10008,2025-02-05,INV008,6,20.00
10008,2025-03-25,INV032,5,30.00
10009,2025-04-10,INV009,2,150.00
10010,2025-01-12,INV010,10,5.00
10010,2025-02-18,INV022,8,7.50
10010,2025-03-20,INV038,6,10.00
10011,2025-05-01,INV011,2,200.00
10012,2025-01-18,INV012,3,40.00
10012,2025-02-22,INV027,4,35.00
10013,2025-03-15,INV013,1,300.00
10014,2025-01-22,INV014,7,15.00
10014,2025-04-12,INV046,5,20.00
10015,2025-02-10,INV016,2,100.00
10015,2025-03-30,INV034,3,80.00
10016,2025-01-28,INV017,4,25.00
10016,2025-02-25,INV030,5,30.00
10017,2025-04-18,INV043,1,450.00
10018,2025-01-10,INV019,8,12.00
10018,2025-03-12,INV026,6,15.00
10018,2025-05-10,INV052,4,20.00
10019,2025-02-14,INV021,2,175.00
10020,2025-01-05,INV023,10,10.00
10020,2025-02-08,INV031,8,15.00
10020,2025-04-25,INV047,5,25.00
10021,2025-03-08,INV024,2,90.00
10022,2025-01-20,INV028,6,18.00
10022,2025-03-05,INV041,4,25.00
10023,2025-02-02,INV029,3,60.00
10024,2025-04-02,INV033,1,350.00
10025,2025-01-15,INV036,5,20.00
10025,2025-03-22,INV049,4,30.00
10026,2025-02-12,INV037,2,125.00
10027,2025-01-07,INV039,10,9.00
10027,2025-02-20,INV045,8,11.00
10027,2025-04-15,INV050,6,15.00
10028,2025-03-10,INV042,2,200.00
10029,2025-01-25,INV048,5,35.00
10029,2025-04-20,INV051,3,50.00
10030,2025-02-05,INV053,1,600.00
10031,2025-03-18,INV054,4,45.00
10032,2025-01-30,INV056,8,12.00
10032,2025-03-25,INV057,5,18.00
10033,2025-04-10,INV058,2,175.00
10034,2025-02-15,INV059,3,90.00
10034,2025-05-05,INV060,2,110.00
10035,2025-01-12,INV061,6,22.00
10035,2025-02-28,INV062,5,25.00
10036,2025-03-20,INV063,1,400.00
10037,2025-01-18,INV064,7,14.00
10037,2025-04-05,INV065,6,16.00
10038,2025-02-22,INV066,2,150.00
10039,2025-03-15,INV067,3,75.00
10040,2025-01-22,INV068,9,10.00
